"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"LAD","2326","6247","212","847","812","98","9.7%","22.0%",".185",".302",".257",".333",".442",".337","","119","19.9","159.0","1.5","38.9"
"NYY","2342","6172","254","807","764","102","10.0%","22.5%",".185",".276",".241",".325",".426",".327","","115","-5.7","98.6","39.6","35.1"
"STL","2355","6165","197","772","739","95","8.7%","19.9%",".168",".289",".252",".325",".420",".326","","114","4.7","102.5","2.8","32.8"
"NYM","2340","6176","171","772","735","62","8.3%","19.7%",".153",".302",".259",".332",".412",".326","","116","-10.7","103.4","-13.0","31.3"
"TOR","2445","6158","200","775","756","67","8.1%","20.2%",".168",".305",".264",".329",".431",".331","","117","-10.5","110.8","-9.9","31.2"
"HOU","2279","6054","214","737","715","83","8.7%","19.5%",".176",".278",".248",".319",".424",".324","","112","-8.9","75.0","13.4","29.5"
"ATL","2259","6082","243","789","753","87","7.7%","24.6%",".190",".303",".253",".317",".443",".330","","111","9.7","85.1","-14.7","28.9"
"MIL","2363","6122","219","725","703","96","9.4%","23.9%",".174",".279",".235",".315",".409",".317","","104","5.6","30.6","-4.8","24.3"
"SEA","2383","6117","197","690","663","83","9.7%","22.8%",".160",".272",".230",".315",".390",".310","","107","-10.0","37.5","-14.3","22.9"
"CLE","2338","6163","127","698","662","119","7.3%","18.2%",".129",".294",".254",".316",".383",".306","","99","13.2","3.8","6.2","21.7"
"PHI","2327","6077","205","747","719","105","7.9%","22.4%",".169",".299",".253",".317",".422",".322","","106","9.9","50.9","-50.0","21.6"
"SDP","2323","6175","153","705","682","49","9.3%","21.5%",".141",".289",".241",".318",".382",".308","","102","3.9","16.8","-22.8","21.2"
"MIN","2422","6113","178","696","668","38","8.5%","22.1%",".153",".295",".248",".317",".401",".315","","107","-20.7","25.1","-19.0","21.1"
"TBR","2403","6008","139","666","634","95","8.3%","23.2%",".138",".295",".239",".309",".377",".302","","101","4.0","12.9","-15.3","19.8"
"ARI","2407","6027","173","702","658","104","8.8%","22.2%",".155",".272",".230",".304",".385",".303","","92","25.4","-27.4","13.0","19.8"
"BAL","2359","6049","171","674","639","95","7.9%","23.0%",".154",".284",".236",".305",".390",".305","","99","12.0","2.7","-15.0","18.9"
"TEX","2365","6029","198","707","670","128","7.6%","24.0%",".157",".287",".239",".301",".395",".305","","98","18.8","5.0","-16.7","18.9"
"BOS","2379","6144","155","735","704","52","7.8%","22.3%",".152",".313",".258",".321",".409",".319","","102","-11.5","3.8","-28.4","18.0"
"CHC","2388","6072","159","657","620","111","8.3%","23.8%",".148",".294",".238",".311",".387",".307","","98","-1.7","-19.4","-35.6","15.7"
"SFG","2552","6117","183","716","683","64","9.3%","23.9%",".156",".284",".234",".315",".390",".311","","101","3.0","12.6","-69.6","15.6"
"CHW","2371","6123","149","686","654","58","6.3%","20.7%",".131",".304",".256",".310",".387",".306","","99","-3.0","-12.6","-36.9","15.3"
"LAA","2327","5977","190","623","600","77","7.5%","25.7%",".157",".289",".233",".297",".390",".300","","93","-0.8","-47.4","-29.4","11.9"
"KCR","2372","6010","138","640","613","104","7.7%","21.4%",".136",".293",".244",".306",".380",".302","","93","2.2","-48.6","-40.7","10.7"
"MIA","2384","5949","144","586","554","122","7.3%","24.0%",".133",".284",".230",".294",".363",".290","","88","-2.6","-84.2","-14.8","10.6"
"OAK","2394","5863","137","568","537","78","7.4%","23.7%",".130",".264",".216",".281",".346",".277","","84","1.4","-105.0","-16.7","6.8"
"COL","2265","6105","149","698","669","45","7.4%","21.8%",".144",".307",".254",".315",".398",".312","","86","-2.6","-101.9","-38.8","6.8"
"PIT","2340","5912","158","591","555","89","8.1%","25.3%",".141",".277",".222",".291",".364",".289","","84","6.7","-101.8","-32.9","6.7"
"WSN","2347","5998","136","603","579","75","7.4%","20.4%",".129",".295",".249",".310",".377",".303","","93","-25.1","-75.3","-68.3","6.1"
"CIN","2406","5978","156","648","618","58","7.6%","23.9%",".137",".290",".235",".304",".372",".299","","84","-15.6","-123.6","-28.4","5.2"
"DET","2350","5870","110","557","530","47","6.5%","24.1%",".115",".290",".231",".286",".346",".279","","81","-8.6","-133.1","-29.8","2.5"
