"PlayerName","playerid","Date","Team","Opp","season","Age","BatOrder","Pos","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Spd","wRC+","wBSR","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","XX%","wFB","wSL","wCT","wCB","wCH","wSF","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","pfxFA%","pfxFC%","pfxFS%","pfxSI%","pfxSL%","pfxCU%","pfxKC%","pfxCH%","pfxvFA","pfxvFC","pfxvFS","pfxvSI","pfxvSL","pfxvCU","pfxvKC","pfxvCH","pfxFA-X","pfxFC-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxKC-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxKC-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwFS","pfxwSI","pfxwSL","pfxwCU","pfxwKC","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxwKC/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCS%","piCU%","piFA%","piFC%","piFS%","piSI%","piSL%","piXX%","pivCH","pivCS","pivCU","pivFA","pivFC","pivFS","pivSI","pivSL","pivXX","piCH-X","piCS-X","piCU-X","piFA-X","piFC-X","piFS-X","piSI-X","piSL-X","piXX-X","piCH-Z","piCS-Z","piCU-Z","piFA-Z","piFC-Z","piFS-Z","piSI-Z","piSL-Z","piXX-Z","piwCH","piwCS","piwCU","piwFA","piwFC","piwFS","piwSI","piwSL","piwXX","piwCH/C","piwCS/C","piwCU/C","piwFA/C","piwFC/C","piwFS/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Aaron Judge",15640,"2021-10-03","NYY","TBR",2021,29,"3","RF",1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.25,2,0,1,0,14,5,9,0,0,0,0,0.25,0,0.25,0.25,0.5,0,0.333333333,2,0.333333333,0.666666666,0,0,0,0,0,0.219763830304146,-0.313287125951199,0.170936031216236,0.14285714,36.9385209118479,-0.00342252128757536,0.0303599461913109,-0.123880036175251,0.154239982366562,-0.306999981403351,-0.0307769384235144,2.0404999256134,NA,0,-0.0557936578989029,0.0706723382704223,0.35714286,96.2,0.42857143,85.16666667,NA,NA,0.07142857,77,0.14285714,87.5,NA,NA,NA,-0.965986967086792,0.272818982601166,NA,0.0361063815653324,-0.172042161226273,NA,-19.3197393417358,4.54698304335276,NA,3.61063815653324,-8.60210806131363,NA,0.44444444,0.8,0.57142857,0.5,0.75,0.625,0.35714286,0.5,0.21428571,1,2,0,0,2,1,3,0.33333333,0.66666667,0,0,0.66666667,0.33333333,0.07142857,NA,NA,0.28571429,0.42857143,0.07142857,NA,0.14285714,94.4000015258789,NA,NA,96.5250015258789,85.2999979654948,77.0999984741211,NA,87.4000015258789,-4.71999979019165,NA,NA,-7.94999980926514,6.09833335876465,2.38000011444092,NA,-8.51999950408936,10.9399995803833,NA,NA,7.75,0.690000057220459,-7.09000015258789,NA,5.00500011444092,-0.7941614985466,NA,NA,-0.165353495627642,0.270925845950842,0.0358473882079124,NA,-0.171324878931046,-79.41614985466,NA,NA,-4.13383739069104,4.51543076584736,3.58473882079124,NA,-8.56624394655228,0.28571429,0.85714286,0.57142857,0.5,0.66666667,0.625,0.5,26.4,0.14285714,NA,0.07142857,0.07142857,NA,NA,0.28571429,0.42857143,NA,87.2257537841797,NA,76.9274978637695,94.2735977172852,NA,NA,96.3302764892578,85.1026814778646,NA,-8.40522956848145,NA,2.49528002738953,-4.49390983581543,NA,NA,-8.14260482788086,6.59083493550618,NA,3.17703986167908,NA,-9.5808801651001,9.53981018066406,NA,NA,6.56875991821289,-0.830403327941895,NA,-0.171324878931046,NA,0.0358473882079124,-0.7941614985466,NA,NA,-0.165353495627642,0.270925845950842,NA,-8.56624394655228,NA,3.58473882079124,-79.41614985466,NA,NA,-4.13383739069104,4.51543076584736,NA,0.28571429,0.85714286,0.57142857,0.5,0.66666667,0.625,0.5,3,97.5044148763021,2.06164868672689,0,0,118.556,2,0.66666667,"2021-10-03",0
"Aaron Judge",15640,"2021-10-02","NYY","TBR",2021,29,"3","RF",1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333,1,1,1,0,15,8,7,0,0,0,0.25,0,1,0.5,0.333333333,0.833333333,0,0.333333333,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.392692968249321,0.259024011163469,0.743247168330904,0.14285714,153.799669179922,-0.00684504257515073,0.00441001122817397,-0.0215900018811226,0.0260000135749578,0.0579999685287476,0.00581453368067741,0.347499996423721,NA,0,0.00453002704307437,0.00816065288083751,0.53333333,94.5,0.46666667,85.85714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.20328064262867,0.515253365039825,NA,NA,NA,NA,-2.54100803285837,7.36076235771179,NA,NA,NA,NA,0.25,0.66666667,0.33333333,0.66666667,1,0.8,0.2,0.25,0.06666667,1,1,1,0,2,1,3,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,0.46666667,NA,NA,0.06666667,0.46666667,NA,NA,NA,94.8571428571429,NA,NA,91.4000015258789,85.8428606305804,NA,NA,NA,-4.00857135227748,NA,NA,-11.3800001144409,1.9728570665632,NA,NA,NA,11.5442853655134,NA,NA,1.26999998092651,1.73285715920585,NA,NA,NA,-0.162037715315819,NA,NA,-0.041137769818306,0.511138264089823,NA,NA,NA,-2.3148245045117,NA,NA,-4.1137769818306,7.30197520128318,NA,NA,NA,0.11111111,0.66666667,0.33333333,0,1,0.8,0.4,23.18181818,NA,NA,NA,0.46666667,NA,NA,0.06666667,0.46666667,NA,NA,NA,NA,94.8393729073661,NA,NA,91.4201965332031,85.8110700334821,NA,NA,NA,NA,-3.78534698486328,NA,NA,-10.708399772644,2.49919182913644,NA,NA,NA,NA,10.0944126674107,NA,NA,-0.0916123017668724,0.325923442840576,NA,NA,NA,NA,-0.162037715315819,NA,NA,-0.041137769818306,0.511138264089823,NA,NA,NA,NA,-2.3148245045117,NA,NA,-4.1137769818306,7.30197520128318,NA,0.1,0.8,0.33333333,0,1,0.8,0.33333333,3,94.3245849609375,20.5913480122884,0,0,110.219,2,0.66666667,"2021-10-02",0
"Aaron Judge",15640,"2021-10-01","NYY","TBR",2021,29,"3","RF",1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,2,0,1,0,17,7,10,0,0,0,0,0.25,0,0.25,0.25,0.5,0,0.333333333,2,0.333333333,0.666666666,0,0,0,0,0,0.219763830304146,-0.313287125951199,0.170936031216236,0.14285714,36.9385209118479,-0.00342252128757536,-0.051850002259016,-0.0961300060153008,0.0442800037562847,-0.671000003814697,-0.0672681704163551,0.992250025272369,NA,0,-0.0562783516943455,0.00402337468410717,0.29411765,96.4,0.41176471,85.85714286,NA,NA,0.17647059,80.66666667,NA,NA,0.11764706,88.5,NA,-0.620272278785706,0.346256583929062,NA,0.0464206300675869,NA,-0.0234970822930336,-12.4054455757141,4.94652262755803,NA,1.54735433558623,NA,-1.17485411465168,0.36363636,0.5,0.41176471,0.75,1,0.85714286,0.35294118,0.75,0.05882353,1,1,1,1,2,0,3,0.33333333,0.33333333,0.33333333,0.33333333,0.66666667,0,0.17647059,NA,NA,0.11764706,0.41176471,0.17647059,NA,0.11764706,96.1666666666667,NA,NA,96.6999969482422,85.7999965122768,80.4666646321615,NA,88.6499938964844,3.15666707356771,NA,NA,-11.5,3.8199999673026,-4.64000002543132,NA,9.71500015258789,10.193333307902,NA,NA,6.59500026702881,-0.911428587777274,-8.20666631062826,NA,8.52000045776367,-0.387585327029228,NA,NA,-0.228970572352409,0.343716192990541,0.0459198802709579,NA,-0.0234343484044075,-12.9195109009743,NA,NA,-11.4485286176205,4.91023132843631,1.5306626756986,NA,-1.17171742022038,0.2,0.71428571,0.41176471,0.5,1,0.85714286,0.41176471,24.33333333,0.11764706,NA,0.17647059,0.17647059,NA,NA,0.11764706,0.41176471,NA,88.5834503173828,NA,80.4052022298177,96.0893351236979,NA,NA,96.6322479248047,85.7398420061384,NA,9.55537033081055,NA,-5.26777013142904,3.32487328847249,NA,NA,-11.3043994903564,4.26134136744908,NA,6.56789493560791,NA,-10.2243169148763,8.76276016235352,NA,NA,4.89301013946533,-2.38787950788225,NA,-0.0234343484044075,NA,0.0459198802709579,-0.387585327029228,NA,NA,-0.228970572352409,0.343716192990541,NA,-1.17171742022038,NA,1.5306626756986,-12.9195109009743,NA,NA,-11.4485286176205,4.91023132843631,NA,0.2,0.71428571,0.41176471,0.5,1,0.85714286,0.41176471,3,78.2763977050781,-8.30602200826009,0,0,99.5707,1,0.33333333,"2021-10-01",0
"Aaron Judge",15640,"2021-09-30","NYY","@TOR",2021,29,"3","RF",1,3,4,2,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0.666666666,0,3,0,0,16,8,8,0,0,0,0.25,0,1,0.75,2.666666666,3.416666666,2,0,0,0,0,1,0,0.666666666,0,0,1.17618843913078,2.85201203615739,3.33623519332483,0.14285714,683.266140117114,-0.00342252128757536,0.24848797917366,-0.0125839952379465,0.261071979999542,2.15799999237061,0.203777134418488,0.529900014400482,NA,0,0.395812779664993,0.0731209293759366,0.375,97.66666667,0.625,88.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8923499584198,-0.0374304465949535,NA,NA,NA,NA,48.20583264033,-0.374304465949535,NA,NA,NA,NA,0,0.57142857,0.25,NA,1,1,0.4375,1,0,0,2,1,0,1,2,3,0,0.66666667,0.33333333,0,0.33333333,0.66666667,0.375,NA,NA,NA,0.625,NA,NA,NA,97.6166687011719,NA,NA,NA,88.7099975585938,NA,NA,NA,0.536666631698608,NA,NA,NA,2.11299991607666,NA,NA,NA,11.4383328755697,NA,NA,NA,3.95,NA,NA,NA,2.88894790783525,NA,NA,NA,-0.0378091298043728,NA,NA,NA,48.1491317972541,NA,NA,NA,-0.378091298043728,NA,NA,NA,0,0.66666667,0.25,NA,1,1,0.375,21.66666667,NA,NA,NA,0.375,NA,NA,NA,0.625,NA,NA,NA,NA,97.3122863769531,NA,NA,NA,88.3681701660156,NA,NA,NA,NA,0.24971334139506,NA,NA,NA,1.39833278656006,NA,NA,NA,NA,9.90693664550781,NA,NA,NA,2.21029052734375,NA,NA,NA,NA,2.88894790783525,NA,NA,NA,-0.0378091298043728,NA,NA,NA,NA,48.1491317972541,NA,NA,NA,-0.378091298043728,NA,0,0.57142857,0.25,NA,1,1,0.4375,3,107.078592936198,28.0369567871094,2,0.66666667,115.323,2,0.66666667,"2021-09-30",0
"Aaron Judge",15640,"2021-09-29","NYY","@TOR",2021,29,"3","RF",1,3,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,16,5,11,0,0,0,0,0.25,0,0,0,0,0,0,2,0,0.666666666,0.333333333,0,0,0,0,0,-1.04059826109324,-0.556375103925809,0.14285714,-100,0,-0.0588880181312561,-0.0588880181312561,0,-0.289000034332275,-0.0272898990660906,0.844900012016296,NA,0,-0.0824742242693901,0.0127760146661924,0.8125,93.30769231,0.0625,79,NA,NA,0.0625,83,0.0625,86,NA,NA,NA,-0.824615597724915,-0.041377130895853,NA,0.0500490181148052,0.0361063815653324,NA,-6.34319690557627,-4.1377130895853,NA,5.00490181148052,3.61063815653324,NA,0.4,0.33333333,0.375,0.5,1,0.66666667,0.375,0.75,0.125,0,2,1,1,2,0,3,0,0.66666667,0.33333333,0.33333333,0.66666667,0,0.3125,NA,NA,0.5,0.0625,0.0625,NA,0.0625,94.2599975585938,NA,NA,92.6875,79.3000030517578,82.8000030517578,NA,85.6999969482422,-8.47799987792969,NA,NA,-10.7462501525879,1.75999999046326,7.92000007629395,NA,-10.3299999237061,9.89800033569336,NA,NA,3.89124989509583,2.04999995231628,-3.35999989509583,NA,2.92000007629395,-0.232982687652111,NA,NA,-0.58560948818922,-0.041137769818306,0.0496592968702316,NA,0.0358473882079124,-4.65965375304222,NA,NA,-7.32011860236526,-4.1137769818306,4.96592968702316,NA,3.58473882079124,0.14285714,0.55555556,0.375,0,0.8,0.66666667,0.5625,22.91666667,0.0625,NA,0.0625,0.3125,NA,NA,0.5,0.0625,NA,85.2768020629883,NA,82.3471984863281,93.8518432617188,NA,NA,92.306640625,78.8723983764648,NA,-9.90170955657959,NA,9.0888204574585,-7.7648078918457,NA,NA,-9.96548366546631,3.0789999961853,NA,1.00782001018524,NA,-5.07862997055054,8.61312026977539,NA,NA,2.7435188293457,1.47214996814728,NA,0.0358473882079124,NA,0.0496592968702316,-0.232982687652111,NA,NA,-0.58560948818922,-0.041137769818306,NA,3.58473882079124,NA,4.96592968702316,-4.65965375304222,NA,NA,-7.32011860236526,-4.1137769818306,NA,0.14285714,0.55555556,0.375,0,0.8,0.66666667,0.5625,3,84.017812093099,-6.05357678731283,0,0,100.708,1,0.33333333,"2021-09-29",0
"Aaron Judge",15640,"2021-09-28","NYY","@TOR",2021,29,"3","RF",1,2,5,2,1,0,0,1,2,2,2,0,0,0,1,0,0,0,0,1,0,1,2,0,20,11,9,0,0,0,0.4,0,2,0.8,2.5,3.3,1.5,0.5,0,0.666666666,0,0.333333333,0,1,0,0,0.85380140542984,2.23133516307281,2.8366141095321,1.60119047125,465.405116852344,-0.0102675638627261,0.209584012627602,0,0.209584012627602,2.12400007247925,0.200566574931145,0.900799989700317,NA,0,0.340517282485962,-0.107852967406066,0.5,92.8,0.15,85.66666667,NA,NA,0.15,81,0.2,84.75,NA,NA,NA,1.92765963077545,0.249748289585114,NA,0.169238865375519,0.109905377030373,NA,19.2765963077545,8.32494298617045,NA,5.64129551251729,2.74763442575932,NA,0.21428571,0.5,0.3,0.66666667,1,0.83333333,0.3,0.8,0.05,0,0,3,0,1,2,3,0,0,1,0,0.33333333,0.66666667,0.45,0.05,NA,0.05,0.1,0.15,NA,0.2,93.4111124674479,85.3000030517578,NA,87.0999984741211,82.6999969482422,83.1333312988281,NA,84.9499969482422,4.79000006781684,2.03999996185303,NA,-9.77999973297119,6.81500005722046,-0.569999933242798,NA,-4.68249988555908,6.15555572509766,2.64000010490417,NA,-6.67999982833862,-2.24000000953674,-1.55333312352498,NA,6.26749992370605,1.98248171061277,0.0918394774198532,NA,-0.0583146512508392,0.127686865627766,0.195890855044127,NA,0.108267322182655,22.0275745623642,9.18394774198532,NA,-5.83146512508392,6.38434328138828,6.52969516813755,NA,2.70668305456638,0.23076923,0.42857143,0.3,0.66666667,1,0.83333333,0.35,26.4,0.2,NA,0.15,0.3,0.05,NA,0.2,0.1,NA,84.5507278442383,NA,80.7347005208333,93.4787801106771,84.9072036743164,NA,90.7069702148438,85.2271499633789,NA,-4.69509029388428,NA,2.77482000986735,1.70054356257121,1.69050002098083,NA,6.58543968200684,3.17413520812988,NA,4.28381490707397,NA,-6.45721689860026,5.87226359049479,1.798259973526,NA,0.970582485198975,0.0786009952425957,NA,0.108267322182655,NA,0.167891230434179,0.217342264950275,0.0918394774198532,NA,1.70682479441166,0.155686490237713,NA,2.70668305456638,NA,5.59637434780598,3.62237108250459,9.18394774198532,NA,42.6706198602915,7.78432451188564,NA,0.23076923,0.42857143,0.3,0.66666667,1,0.83333333,0.35,3,99.9596150716146,19.3179372151693,1,0.33333333,106.364,2,0.66666667,"2021-09-28",0
"Aaron Judge",15640,"2021-09-26","NYY","@BOS",2021,29,"3","RF",1,4,4,1,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0.25,0,1,1,0,18,4,14,0,0,0,0,0.5,0,0.25,0.5,0.75,0.25,0.5,0,0.5,0,0.5,0,0,0,0,0.310411632061005,-0.0132870963618517,0.470936060805583,2.64285714,98.196018214828,0,0.2206000238657,-0.0588239915668964,0.279424011707306,0.684000015258789,0.0638655573129654,1.40409994125366,NA,0,0.00306541146710515,0.154045928961223,0.44444444,96,0.22222222,86,0.16666667,89,NA,NA,0.16666667,85,NA,NA,NA,0.837007880210876,-0.305895566940308,-0.167342737317085,NA,-0.406439334154129,NA,10.462598502636,-7.64738917350769,-5.57809124390284,NA,-13.5479778051376,NA,0.5,0.83333333,0.61111111,0.5,1,0.72727273,0.33333333,0.75,0.16666667,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,0.33333333,0.16666667,NA,0.11111111,0.22222222,NA,NA,0.16666667,96.0666707356771,89.2999979654948,NA,96,86,NA,NA,85.0666656494141,-1,-2.25,NA,-10.710000038147,5.06999969482422,NA,NA,10.1166661580404,8.82666651407878,3.41666666666667,NA,3.54999995231628,1.69249999523163,NA,NA,2.30999994277954,0.846367780119181,-0.166444331407547,NA,-0.0126011110842228,-0.351566329598427,NA,NA,-0.404436871409416,14.106129668653,-5.54814438025157,NA,-0.63005555421114,-8.78915823996067,NA,NA,-13.4812290469805,0.5,0.7,0.61111111,0.25,1,0.72727273,0.55555556,24.90909091,0.16666667,NA,NA,0.33333333,0.16666667,NA,0.11111111,0.22222222,NA,85.2076670328776,NA,NA,96.1838684082031,89.4179992675781,NA,96.1333999633789,86.1367797851562,NA,9.84901682535807,NA,NA,-0.755760033925374,-2.85737005869548,NA,-10.0842399597168,5.39429569244385,NA,1.02563746770223,NA,NA,8.04348182678223,2.36089992523193,NA,2.34412503242493,0.421642780303955,NA,-0.404436871409416,NA,NA,0.846367780119181,-0.166444331407547,NA,-0.0126011110842228,-0.351566329598427,NA,-13.4812290469805,NA,NA,14.106129668653,-5.54814438025157,NA,-0.63005555421114,-8.78915823996067,NA,0.5,0.7,0.61111111,0.5,0.85714286,0.72727273,0.55555556,2,104.071594238281,17.5074329376221,1,0.5,118.388,1,0.5,"2021-09-26",0
"Aaron Judge",15640,"2021-09-25","NYY","@BOS",2021,29,"2","RF",1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,17,9,8,0,0,0,0.25,0,1,0.25,0,0.25,0,0,2,0,0.666666666,0.333333333,1,0,0,0,0.172929137945175,-0.468287123978576,0.0159360331888589,2.64285714,5.28881749641486,-0.00342252128757536,-0.13290399312973,-0.156816005706787,0.0239120181649923,-1.06499993801117,-0.0994397699832916,1.65240001678467,NA,0,-0.0982280448079109,0.0177971613779154,0.58823529,96,0.41176471,87.42857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.722355246543884,0.224564731121063,NA,NA,NA,NA,-7.22355246543884,3.20806758744376,NA,NA,NA,NA,0.18181818,0.83333333,0.41176471,1,0.8,0.85714286,0.35294118,0.25,0.05882353,1,1,1,2,1,0,3,0.33333333,0.33333333,0.33333333,0.66666667,0.33333333,0,0.52941176,NA,NA,0.05882353,0.41176471,NA,NA,NA,96.1222195095486,NA,NA,94.5999984741211,87.3428606305804,NA,NA,NA,-3.79666646321615,NA,NA,-9.36999988555908,4.55571447099958,NA,NA,NA,10.598888821072,NA,NA,0.439999997615814,1.87000002179827,NA,NA,NA,-0.754391845315695,NA,NA,0.0358473882079124,0.221414819359779,NA,NA,NA,-8.38213161461883,NA,NA,3.58473882079124,3.16306884799685,NA,NA,NA,0.18181818,0.83333333,0.41176471,1,0.8,0.85714286,0.35294118,20.90909091,NA,NA,NA,0.52941176,NA,NA,0.05882353,0.41176471,NA,NA,NA,NA,96.3191189236111,NA,NA,94.8162002563477,87.5173165457589,NA,NA,NA,NA,-3.50605667961968,NA,NA,-8.61034965515137,5.45900290352958,NA,NA,NA,NA,9.57358042399088,NA,NA,-0.950541019439697,0.564920561654227,NA,NA,NA,NA,-0.754391845315695,NA,NA,0.0358473882079124,0.221414819359779,NA,NA,NA,NA,-8.38213161461883,NA,NA,3.58473882079124,3.16306884799685,NA,0.18181818,0.83333333,0.41176471,1,0.8,0.85714286,0.35294118,3,84.5573323567708,-4.49617258707682,0,0,98.5029,2,0.66666667,"2021-09-25",0
"Aaron Judge",15640,"2021-09-24","NYY","@BOS",2021,29,"3","RF",1,4,5,1,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0.25,0,3,0,0,19,8,11,0,0,0,0.2,0.2,1,0.4,0.5,0.9,0.25,0.333333333,0,0,0,1,0,0,0,0,0.386672616004944,0.298874475479505,0.904153421938799,2.64285714,149.73126703199,-0.00342252128757536,0.130667999386787,-0.00674799969419837,0.137416005134583,1.15399992465973,0.107749760150909,0.542320013046265,NA,0,0.0130504993721843,0.227892110606032,0.42105263,95.5,0.15789474,85,0.21052632,89.75,NA,NA,0.15789474,86,0.05263158,85,NA,-0.323433041572571,0.0855676755309105,-0.331311136484146,NA,0.0281942971050739,0.85053277015686,-4.04291301965714,2.85225585103035,-8.28277841210365,NA,0.939809903502464,85.053277015686,0.21428571,0.6,0.31578947,0.66666667,1,0.83333333,0.26315789,0.6,0.05263158,0,3,0,0,0,3,3,0,1,0,0,0,1,0.42105263,0.21052632,0.05263158,NA,0.15789474,NA,NA,0.15789474,95.4124984741211,89.8249969482422,84.6999969482422,NA,85.2000020345052,NA,NA,86.0333353678385,-6.76749992370605,0.600000023841858,-2.85999989509583,NA,2.67666657765706,NA,NA,-4.07666651407878,8.71125030517578,5.32250022888184,2.04999995231628,NA,-0.0333333338300387,NA,NA,4.12333329518636,-0.323265664279461,-0.329490393400192,0.847301185131073,NA,0.0846071541309357,NA,NA,0.027775913476944,-4.04082080349326,-8.23725983500481,84.7301185131073,NA,2.82023847103119,NA,NA,0.925863782564799,0.125,0.45454545,0.31578947,0,1,0.83333333,0.57894737,26.38461538,0.15789474,NA,NA,0.42105263,0.21052632,0.05263158,NA,0.15789474,NA,86.3756306966146,NA,NA,95.7473907470703,90.1457214355469,85.0509033203125,NA,85.5228678385417,NA,-4.11884339650472,NA,NA,-6.27773237228394,0.0556122288107872,-2.44377994537354,NA,3.58678658803304,NA,2.26119009653727,NA,NA,7.84785985946655,4.56474733352661,1.30615997314453,NA,-1.39693959554036,NA,0.027775913476944,NA,NA,-0.323265664279461,-0.329490393400192,0.847301185131073,NA,0.0846071541309357,NA,0.925863782564799,NA,NA,-4.04082080349326,-8.23725983500481,84.7301185131073,NA,2.82023847103119,NA,0.125,0.45454545,0.31578947,0,1,0.83333333,0.57894737,3,108.598154703776,34.6044540405273,2,0.66666667,112.71,3,1,"2021-09-24",0
"Aaron Judge",15640,"2021-09-22","NYY","TEX",2021,29,"3","DH",1,3,4,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,21,10,11,0,0,0,0.25,0.5,0.5,0.25,0,0.25,0,0,0,0,0,1,1,0,0,0,0.172929137945175,-0.468287123978576,0.0159360331888589,2.64285714,5.28881749641486,-0.00342252128757536,0.108929976820946,-0.0862100124359131,0.195139989256859,0.501999974250793,0.0503258183598518,1.90320003032684,NA,0,-0.00907183811068535,0.0663070078696091,0.52380952,95.09090909,0.42857143,85.22222222,NA,NA,NA,NA,0.04761905,85,NA,NA,NA,-0.060064721852541,-0.45633727312088,NA,NA,0.0287642516195774,NA,-0.546042925932191,-5.07041414578756,NA,NA,2.87642516195774,NA,0.2,0.66666667,0.33333333,0.33333333,1,0.71428571,0.28571429,0.75,0.0952381,0,0,1,1,0,0,1,0,0,1,1,0,0,0.23809524,NA,0.04761905,0.28571429,0.42857143,NA,NA,NA,95.0600036621094,NA,85.1999969482422,94.9833374023438,85.1777750651042,NA,NA,NA,4.12000007629395,NA,-9.5,9.90000025431315,1.54333337148031,NA,NA,NA,9.76999969482422,NA,3.36999988555908,6.83333333333333,-0.173333313730028,NA,NA,NA,-0.316257283091545,NA,0.0285366624593735,0.255066514015198,-0.454509522765875,NA,NA,NA,-6.3251456618309,NA,2.85366624593735,4.25110856691996,-5.05010580850972,NA,NA,NA,0.21428571,0.57142857,0.33333333,0.33333333,1,0.71428571,0.33333333,20.8125,0.04761905,NA,NA,0.23809524,NA,NA,0.28571429,0.42857143,NA,85.3072967529297,NA,NA,95.1504577636719,NA,NA,95.1019999186198,85.2647908528646,NA,-9.74067974090576,NA,NA,3.22936630249023,NA,NA,9.11959648132324,0.93471548292372,NA,1.85622000694275,NA,NA,8.45257568359375,NA,NA,5.4656016031901,-1.82716030544705,NA,0.0285366624593735,NA,NA,-0.316257283091545,NA,NA,0.255066514015198,-0.454509522765875,NA,2.85366624593735,NA,NA,-6.3251456618309,NA,NA,4.25110856691996,-5.05010580850972,NA,0.21428571,0.57142857,0.33333333,0.33333333,1,0.71428571,0.33333333,1,82.2432098388672,62.7601432800293,0,0,82.2432,0,0,"2021-09-22",0
