"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF",2022-07-15,93.4,-2.4,5.36,"Judge, Aaron",592450,543135,"strikeout","swinging_strike",NA,NA,NA,NA,14,"Aaron Judge strikes out swinging.","R","R","R","NYY","BOS","S",2,"",3,2,2022,-1.01,1.28,1.16,2.27,NA,NA,518934,0,5,"Bot",NA,NA,NA,NA,543877,NA,NA,11.4499573025829,-135.389399014443,-4.96100730376241,-15.0222865591167,31.0105012823043,-15.535683723087,3.93,1.92,NA,NA,NA,93.6,2122,6.7,661260,543135,543877,666915,669023,646240,593428,657077,598265,608701,53.76,NA,NA,0,1,0,0,NA,41,6,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard",226,-0.043,-0.482
"FS",2022-07-15,86.2,-2.48,5.41,"Judge, Aaron",592450,543135,"","swinging_strike",NA,NA,NA,NA,13,"Aaron Judge strikes out swinging.","R","R","R","NYY","BOS","S",NA,"",3,1,2022,-0.96,0.02,-0.17,1.57,NA,NA,518934,0,5,"Bot",NA,NA,NA,NA,543877,NA,NA,7.49111103009673,-125.424833120737,-2.98065616284078,-11.5996250866479,24.1323552430732,-31.6159739818516,3.93,1.92,NA,NA,NA,87,1323,6.7,661260,543135,543877,666915,669023,646240,593428,657077,598265,608701,53.8,NA,NA,NA,NA,NA,NA,NA,41,5,"Split-Finger",3,3,3,3,3,3,3,3,"Standard","Standard",240,0,-0.127
"FF",2022-07-15,94.8,-2.37,5.23,"Judge, Aaron",592450,543135,"","ball",NA,NA,NA,NA,14,"Aaron Judge strikes out swinging.","R","R","R","NYY","BOS","B",NA,"",2,1,2022,-1.11,1.01,1.5,0.28,NA,NA,518934,0,5,"Bot",NA,NA,NA,NA,543877,NA,NA,12.691647519238,-137.276966653132,-9.57115437657243,-16.8426881712722,29.6177706513033,-17.3505110166378,3.93,1.95,NA,NA,NA,95.4,1974,6.9,661260,543135,543877,666915,669023,646240,593428,657077,598265,608701,53.63,NA,NA,NA,NA,NA,NA,NA,41,4,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard",230,0,0.174
"FS",2022-07-15,85.9,-2.39,5.44,"Judge, Aaron",592450,543135,"","swinging_strike",NA,NA,NA,NA,13,"Aaron Judge strikes out swinging.","R","R","R","NYY","BOS","S",NA,"",2,0,2022,-0.87,0,-0.03,1.77,NA,NA,518934,0,5,"Bot",NA,NA,NA,NA,543877,NA,NA,7.36721896416509,-124.925447937154,-2.50902070701545,-10.5360182515991,23.2062786404727,-31.8620707909439,3.93,1.92,NA,NA,NA,86.5,1277,6.5,661260,543135,543877,666915,669023,646240,593428,657077,598265,608701,53.96,NA,NA,NA,NA,NA,NA,NA,41,3,"Split-Finger",3,3,3,3,3,3,3,3,"Standard","Standard",241,0,-0.086
"FS",2022-07-15,84.4,-2.46,5.58,"Judge, Aaron",592450,543135,"","ball",NA,NA,NA,NA,11,"Aaron Judge strikes out swinging.","R","R","R","NYY","BOS","B",NA,"",1,0,2022,-0.67,-0.04,-2.44,3.02,NA,NA,518934,0,5,"Bot",NA,NA,NA,NA,543877,NA,NA,1.40742822615148,-122.96327117596,0.453835353993916,-7.13570134299714,23.0008359109584,-32.8266977530026,3.93,1.93,NA,NA,NA,85.1,1371,6.6,661260,543135,543877,666915,669023,646240,593428,657077,598265,608701,53.93,NA,NA,NA,NA,NA,NA,NA,41,2,"Split-Finger",3,3,3,3,3,3,3,3,"Standard","Standard",234,0,0.108
"FF",2022-07-15,94.7,-2.51,5.44,"Judge, Aaron",592450,543135,"","ball",NA,NA,NA,NA,12,"Aaron Judge strikes out swinging.","R","R","R","NYY","BOS","B",NA,"",0,0,2022,-0.96,1.2,1.02,3.04,NA,NA,518934,0,5,"Bot",NA,NA,NA,NA,543877,NA,NA,11.4142289888507,-137.526357149839,-3.30003514271534,-14.6062190750184,29.0922752011674,-16.3565462542974,3.98,1.97,NA,NA,NA,95.4,2171,6.7,661260,543135,543877,666915,669023,646240,593428,657077,598265,608701,53.83,NA,NA,NA,NA,NA,NA,NA,41,1,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard",226,0,0.059
"FC",2022-07-15,90.4,-2.6,5.43,"Judge, Aaron",592450,543135,"field_out","hit_into_play",NA,NA,NA,NA,7,"Aaron Judge flies out sharply to center fielder Jackie Bradley Jr.","R","R","R","NYY","BOS","X",8,"fly_ball",0,1,2022,0.32,1.15,-0.28,2.41,NA,NA,518934,1,3,"Bot",136.59,50.42,NA,NA,543877,NA,NA,5.12757046517376,-131.574844056929,-4.10769510402262,2.72295322962929,25.5308613406201,-18.1610679415403,3.93,1.92,368,102.5,38,91.2,2329,6.5,661260,543135,543877,666915,669023,646240,593428,657077,598265,608701,53.96,0.383,0.749,0,1,0,0,5,24,2,"Cutter",0,2,0,2,2,0,0,2,"Standard","Standard",202,-0.033,-0.252
"FF",2022-07-15,95.9,-2.68,5.13,"Judge, Aaron",592450,543135,"","called_strike",NA,NA,NA,NA,7,"Aaron Judge flies out sharply to center fielder Jackie Bradley Jr.","R","R","R","NYY","BOS","S",NA,"",0,0,2022,-1.11,1.08,-0.3,2.06,NA,NA,518934,1,3,"Bot",NA,NA,NA,NA,543877,NA,NA,8.86290989098198,-139.281869090139,-4.94618761074253,-16.4667944362999,31.6481577908587,-17.1997767783913,3.93,1.99,NA,NA,NA,96.3,2078,6.7,661260,543135,543877,666915,669023,646240,593428,657077,598265,608701,53.85,NA,NA,NA,NA,NA,NA,NA,24,1,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard",234,0,-0.048
"SL",2022-07-15,86.1,-3.01,5.15,"Judge, Aaron",592450,656557,"field_out","hit_into_play",NA,NA,NA,NA,9,"Aaron Judge grounds out, third baseman Rafael Devers to first baseman Bobby Dalbec.","R","R","R","NYY","BOS","X",5,"ground_ball",1,2,2022,0.7,0.07,0.59,1.87,NA,518934,NA,0,10,"Bot",104.42,175.03,NA,NA,543877,NA,NA,7.08717922624632,-125.269542832104,-1.70923851969503,6.0485729380434,24.0398202027317,-31.253068161043,3.93,1.92,50,92.2,1,86,2610,6.1,661260,656557,543877,666915,669023,646240,593428,657077,598265,608701,54.39,0.349,0.321,0,1,0,0,2,78,4,"Slider",4,4,4,4,4,4,4,4,"Standard","Standard",53,-0.108,-0.163
"SL",2022-07-15,86.6,-2.96,5,"Judge, Aaron",592450,656557,"","ball",NA,NA,NA,NA,14,"Aaron Judge grounds out, third baseman Rafael Devers to first baseman Bobby Dalbec.","R","R","R","NYY","BOS","B",NA,"",0,2,2022,0.88,0.04,0.25,1.33,NA,518934,NA,0,10,"Bot",NA,NA,NA,NA,543877,NA,NA,5.87923031802735,-126.112778711578,-2.65975936963166,8.23003261690449,24.6573075560781,-31.4689038942837,3.93,1.9,NA,NA,NA,86.7,2621,6.2,661260,656557,543877,666915,669023,646240,593428,657077,598265,608701,54.27,NA,NA,NA,NA,NA,NA,NA,78,3,"Slider",4,4,4,4,4,4,4,4,"Standard","Standard",62,0,0.034
