"year","last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
2022,"Semien, Marcus",543760,547,19.9,32.4,110.1,87.3,97.8,91.3,84.2,430,186,394,191,34.9,37,6.8,5.1
2022,"Rosario, Amed",642708,530,5,31.1,110.8,88.4,99.7,92.1,86.9,450,138,407,203,38.3,24,4.5,3.6
2022,"Ramírez, José",608070,528,20.7,33.7,114.2,87.7,98.9,91.2,86.9,422,179,392,195,36.9,35,6.6,5.1
2022,"Turner, Trea",607208,527,10.2,35.3,112.5,88.9,100.2,92.1,86.3,439,163,402,219,41.6,40,7.6,5.6
2022,"Guerrero Jr., Vladimir",665489,526,4.3,27.9,118.4,92.8,105.5,98.2,90.3,467,144,407,265,50.4,59,11.2,8.4
2022,"Freeman, Freddie",518692,517,13.6,42.9,112.3,91.3,100.8,94.5,87.5,446,185,407,247,47.8,51,9.9,7.2
2022,"Verdugo, Alex",657077,513,8.4,37.8,111,89.1,99.1,93.1,85.9,447,162,399,196,38.2,31,6,4.8
2022,"Kwan, Steven",680757,509,11.8,34.6,107.1,85.1,94.2,87.4,83.9,400,155,381,106,20.8,7,1.4,1.1
2022,"Arraez, Luis",650333,507,12.9,38.7,107.3,88.9,96.2,90.8,87.5,403,169,381,153,30.2,18,3.6,3
2022,"Lindor, Francisco",596019,504,13.8,29.2,110.7,89.3,99.7,93.5,86.7,440,163,394,208,41.3,42,8.3,5.9
2022,"Bichette, Bo",666182,499,8.5,33.3,112.4,91.9,102.7,95.2,89.9,427,156,388,251,50.3,48,9.6,6.9
2022,"Abreu, José",547989,495,8,34.5,113,92.2,103,95,90.3,451,159,406,256,51.8,47,9.5,6.9
2022,"Seager, Corey",608369,495,13.6,38.4,111.3,91.1,101.6,94.6,86.7,435,185,404,225,45.5,52,10.5,7.8
2022,"Arenado, Nolan",571448,489,21.7,35.4,111.4,88.8,99.6,93,85.4,428,186,387,190,38.9,40,8.2,6.5
2022,"Mullins, Cedric",656775,488,17.4,29.1,109.4,88.8,98.9,91.3,89.5,433,164,389,182,37.3,24,4.9,3.6
2022,"Bohm, Alec",664761,486,10.4,37.7,110.8,90.2,100.6,92.4,89.6,426,156,393,209,43,33,6.8,5.2
2022,"Bregman, Alex",608324,481,19.5,36.2,109.2,88.9,98.4,92.6,85.5,412,186,380,182,37.8,35,7.3,5.3
2022,"Alonso, Pete",624413,478,18.2,34.5,116.5,89.8,102.8,94.4,87.4,451,180,404,214,44.8,59,12.3,8.6
2022,"Frazier, Adam",624428,478,13.6,37.4,105.1,85.1,95,88.9,82.5,403,159,344,117,24.5,7,1.5,1.2
2022,"Profar, Jurickson",595777,478,12.9,34.5,109.4,87.5,97.9,90.2,85.8,418,156,381,164,34.3,19,4,2.9
2022,"McNeil, Jeff",643446,477,12.8,39,110,86.9,96.3,89.9,85.6,410,166,394,144,30.2,13,2.7,2.2
2022,"Gurriel, Yuli",493329,475,14.6,30.3,109.6,88.2,98.3,90.5,89.2,401,161,377,169,35.6,9,1.9,1.5
2022,"Betts, Mookie",605141,472,18.6,36.2,109,90.5,100,94.7,85.5,421,199,394,212,44.9,46,9.7,7.2
2022,"Nimmo, Brandon",607043,470,6.1,28.1,111.9,89.4,100.3,92.1,88.8,434,142,402,187,39.8,33,7,4.9
2022,"Edman, Tommy",669242,468,8.7,31.4,112.8,88.6,98.9,92.7,87.4,427,147,393,177,37.8,29,6.2,4.6
2022,"Cronenworth, Jake",630105,464,18.2,32.3,108.6,87.6,97.9,91.4,84.3,423,184,389,158,34.1,26,5.6,3.8
2022,"France, Ty",664034,462,10,34.8,110.4,87.6,99,91.3,85.5,438,153,398,170,36.8,25,5.4,4.1
2022,"Swanson, Dansby",621020,462,15.7,37,109.6,90.2,100.8,94.6,84.9,441,183,407,214,46.3,50,10.8,7.2
2022,"Witt Jr., Bobby",677951,461,16.8,32.5,113.7,89.7,100.8,92.6,87.3,443,183,416,178,38.6,40,8.7,6.3
2022,"Walker, Christian",572233,459,17,33.3,112.6,90,101.5,93.8,87.7,467,181,414,202,44,53,11.5,7.9
2022,"Santander, Anthony",623993,457,21.4,33.5,112,90.1,101.3,94.3,88.9,455,185,398,198,43.3,53,11.6,8.2
2022,"Bell, Josh",605137,456,8.4,30.7,112.2,88.9,100.6,92.6,87.6,443,146,403,186,40.8,33,7.2,5.1
2022,"Straw, Myles",664702,454,9.8,34.1,104.8,87,95.5,88.5,86.4,388,152,NA,120,26.5,3,0.7,0.5
2022,"Tucker, Kyle",663656,451,19,34.4,111.3,90,100.3,93.5,85.8,445,194,395,191,42.4,46,10.2,7.6
2022,"Hernández, César",514917,451,9.3,33,110.8,84.8,96.4,88.2,83.5,398,144,398,134,29.7,11,2.4,1.8
2022,"Riley, Austin",663586,451,12.9,37.7,115.9,92.5,104.4,97.7,87.2,441,183,411,229,50.8,71,15.7,10.2
2022,"Olson, Matt",621566,450,16.1,33.8,116.8,92.9,103.7,96.4,90.6,443,178,403,229,50.9,61,13.6,8.7
