"year","last_name, first_name","player_id","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
2022,"Semien, Marcus",543760,724,547,0.248,0.243,0.005,0.429,0.394,0.035,0.317,0.306,0.011
2022,"Freeman, Freddie",518692,708,517,0.325,0.313,0.012,0.511,0.538,-0.027,0.393,0.403,-0.01
2022,"Turner, Trea",607208,708,527,0.298,0.276,0.022,0.466,0.432,0.034,0.35,0.335,0.015
2022,"Lindor, Francisco",596019,706,504,0.27,0.254,0.016,0.449,0.427,0.022,0.342,0.331,0.011
2022,"Guerrero Jr., Vladimir",665489,706,526,0.274,0.281,-0.00700000000000001,0.48,0.464,0.016,0.351,0.351,0
2022,"Olson, Matt",621566,699,450,0.24,0.248,-0.00800000000000001,0.477,0.467,0.00999999999999995,0.344,0.347,-0.003
2022,"Bichette, Bo",666182,697,499,0.29,0.278,0.012,0.469,0.444,0.025,0.347,0.334,0.013
2022,"Judge, Aaron",592450,696,400,0.311,0.305,0.00600000000000001,0.686,0.706,-0.0199999999999999,0.458,0.463,-0.005
2022,"Swanson, Dansby",621020,696,462,0.277,0.257,0.02,0.447,0.461,-0.014,0.337,0.337,0
2022,"Riley, Austin",663586,693,451,0.273,0.271,0.002,0.528,0.531,-0.003,0.377,0.378,-0.001
2022,"Alonso, Pete",624413,685,478,0.271,0.262,0.00900000000000001,0.518,0.486,0.032,0.366,0.353,0.013
2022,"Ramírez, José",608070,685,528,0.28,0.255,0.025,0.514,0.408,0.106,0.363,0.32,0.043
2022,"Cronenworth, Jake",630105,684,464,0.239,0.221,0.018,0.39,0.356,0.034,0.318,0.303,0.015
2022,"Abreu, José",547989,679,495,0.304,0.296,0.00800000000000001,0.446,0.486,-0.04,0.361,0.373,-0.012
2022,"Nimmo, Brandon",607043,673,470,0.274,0.256,0.018,0.433,0.403,0.03,0.353,0.338,0.015
2022,"Hoskins, Rhys",656555,672,424,0.246,0.239,0.00700000000000001,0.462,0.445,0.017,0.345,0.338,0.00699999999999995
2022,"Mullins, Cedric",656775,672,488,0.258,0.232,0.026,0.403,0.349,0.054,0.315,0.288,0.027
2022,"Yelich, Christian",592885,671,416,0.252,0.258,-0.00600000000000001,0.383,0.404,-0.021,0.328,0.339,-0.011
2022,"Rosario, Amed",642708,670,530,0.283,0.276,0.00699999999999995,0.403,0.396,0.00700000000000001,0.311,0.31,0.001
2022,"Schwarber, Kyle",656941,669,379,0.218,0.237,-0.019,0.504,0.535,-0.031,0.355,0.375,-0.02
2022,"Walker, Christian",572233,667,459,0.242,0.257,-0.015,0.477,0.484,-0.00700000000000001,0.346,0.359,-0.013
2022,"Ohtani, Shohei",660271,666,428,0.273,0.275,-0.002,0.519,0.549,-0.03,0.37,0.383,-0.013
2022,"Soto, Juan",665742,664,428,0.242,0.266,-0.024,0.452,0.501,-0.049,0.376,0.401,-0.025
2022,"Seager, Corey",608369,663,495,0.245,0.283,-0.038,0.455,0.51,-0.055,0.331,0.372,-0.041
