last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Wainwright, Adam,425794,2022,.270,.419,.328,.326,.148,87.8,11,6.5,
Verlander, Justin,434378,2022,.207,.331,.255,.248,.124,87.8,16.9,6.3,
Kluber, Corey,446372,2022,.261,.416,.310,.294,.155,87.1,18.5,6.9,
Morton, Charlie,450203,2022,.228,.389,.314,.315,.161,89.3,13.6,9.5,
Quintana, Jose,500779,2022,.257,.377,.305,.312,.120,86.5,9.9,5.5,
Gibson, Kyle,502043,2022,.262,.420,.326,.320,.158,88.5,10.6,7.5,
Darvish, Yu,506433,2022,.227,.388,.291,.275,.161,88.5,17,8.8,
Kelly, Merrill,518876,2022,.230,.383,.296,.291,.153,88.5,14,8.3,
Perez, Martin,527048,2022,.242,.346,.295,.311,.105,88.2,8.1,4.3,
Anderson, Tyler,542881,2022,.225,.350,.275,.272,.124,85,16.9,4.9,
Cole, Gerrit,543037,2022,.214,.383,.284,.266,.169,89.4,12.6,9.5,
Lyles, Jordan,543475,2022,.267,.452,.341,.325,.184,88.6,15.3,10.4,
Mikolas, Miles,571945,2022,.252,.400,.306,.294,.148,87.8,11,6.9,
Gausman, Kevin,592332,2022,.242,.380,.285,.272,.138,89,12.2,8.1,
Ray, Robbie,592662,2022,.223,.373,.295,.292,.150,89.7,14.7,7.9,
Taillon, Jameson,592791,2022,.260,.432,.317,.297,.172,88.5,14.5,8.3,
Gonzales, Marco,594835,2022,.267,.435,.330,.320,.169,86.7,14.5,7.2,
Pivetta, Nick,601713,2022,.248,.433,.332,.324,.185,90.7,15.2,9,
Bassitt, Chris,605135,2022,.228,.359,.290,.291,.132,85.7,10.8,6.6,
Musgrove, Joe,605397,2022,.225,.351,.282,.284,.126,86.4,11.7,6,
Nola, Aaron,605400,2022,.211,.340,.259,.248,.129,87.7,12.5,7.1,
Rodon, Carlos,607074,2022,.198,.309,.254,.260,.111,89,19.4,6.5,
Freeland, Kyle,607536,2022,.271,.455,.346,.337,.184,89.8,12.7,9.7,
Fried, Max,608331,2022,.227,.328,.264,.266,.101,86.2,7.6,4,
Irvin, Cole,608344,2022,.258,.451,.324,.301,.192,89.4,15.5,9.6,
Marquez, German,608566,2022,.256,.423,.327,.321,.167,90.5,9.1,7.1,
Quantrill, Cal,615698,2022,.258,.417,.321,.313,.159,87.6,13.8,7.5,
Berrios, Jose,621244,2022,.275,.466,.346,.329,.191,90,13.9,9.5,
Urias, Julio,628711,2022,.205,.332,.262,.258,.128,86.7,17.2,6.7,
Lopez, Pablo,641154,2022,.239,.378,.301,.302,.138,87.9,11,9,
Alcantara, Sandy,645261,2022,.215,.331,.267,.268,.116,87.8,5.5,5.3,
Cease, Dylan,656302,2022,.184,.292,.257,.273,.109,86.8,15,6.2,
Montgomery, Jordan,656756,2022,.258,.400,.310,.303,.143,88.5,9.8,7.1,
Wright, Kyle,657140,2022,.244,.384,.306,.308,.139,89,4.4,6.8,
Webb, Logan,657277,2022,.247,.364,.295,.301,.116,88.9,3.1,5.5,
Ohtani, Shohei,660271,2022,.204,.311,.256,.260,.107,87.1,14.5,6.3,
McKenzie, Triston,663474,2022,.222,.397,.293,.274,.175,90.2,19.7,9.8,
McClanahan, Shane,663556,2022,.207,.332,.261,.257,.126,87.6,8.3,6.4,
Valdez, Framber,664285,2022,.227,.330,.284,.301,.102,89.8,-3.6,5.8,
Urquidy, Jose,664353,2022,.256,.451,.329,.306,.194,89.7,17.2,9.4,
Manoah, Alek,666201,2022,.224,.343,.284,.290,.118,87.5,16.9,5.4,
Gallen, Zac,668678,2022,.213,.341,.278,.279,.127,87.8,10.8,7.8,
Burnes, Corbin,669203,2022,.212,.337,.273,.275,.124,87.2,10,5.7,
Gilbert, Logan,669302,2022,.253,.408,.314,.308,.155,91,14.6,7.1,
Bieber, Shane,669456,2022,.245,.386,.292,.281,.141,89.9,10,7.2,
